2021-01-04 13:04:59 17 10.22.13.137 yx=SWY32021,jh=PEN,jh=VV,o=KAI - - OBSERVED "Technology/Internet" - 206 TCP_KT_MISS GET application/x-chrome-extension http carter.b.dia.iy.delivery.nm.margareta.com 00 /upalttmixrisemzuliir/files/2311o004-4101-320t-y1ch-o1062oc2a60v ?E1=1525402051&I2=404&A0=2&C2=rvukhXDD0CDHE0QoNki2wJZBk%2fdFoAjdp0T4Jer15HkEkQNuBgtRkjP3BVNfeboeTAnNrzZUUd1Z3YtgfaFA0R%2e%2e - "Margareta BITS/7.8" 10.174.6.2 00074 010 - "Margareta Update" "Update Software" 23.43.56.195
2021-01-04 13:04:59 17 10.22.13.161 yx=ONN02139,jh=PEN,jh=VV,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.spirit.com/ 200 TCP_KT_MISS POST text/plain;jacinda=guy-8 https am03320ysy.vk.armandina.com 220 /vk ?type=dh2&rm=v_4_xdn_3_rm_1HMA6VY0UA313L73ZGPEKWDMWBY0V5IA_app-2W01vwdc5y20euq80c_1_app-0Clu1r2s13f22a10po_1_eo_0_ivey_000000_lod_1_fec-1Lewd_0&cyndy=3&flavor=nyla&wu=MCRWVJMRMEYEYLMAVIMXYLHAPDOKIODK-0&utzznlaVpom=arOn&cxibliimNwsmi=0023058050460&hi=https%3Z%2E%2Xnzj.spirit.com%2E&ii=3&app=50vlmi4w10kpw71n&v=00113110628020130&cy=2&fkt=1531301546&en=edai2wgl&end=1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 510 0233 - "Armandina" "none" 40.105.110.31
2021-01-04 13:04:59 17 10.12.001.56 yx=THD18001,jh=NIA,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://www.google.com/ 200 TCP_KT_MISS GET image/jpeg https ridq0.google.com 220 /xf/v=402 ?x=0360&y=1014&z=14 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 8234 105 - "none" "none" 121.130.060.206
2021-01-04 13:04:59 17 10.12.001.56 yx=THD18001,jh=NIA,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://www.google.com/ 200 TCP_KT_MISS GET image/jpeg https ridq0.google.com 220 /xf/v=402 ?x=3251&y=2002&z=14 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 0316 105 - "none" "none" 121.130.060.206
2021-01-04 13:04:59 17 10.22.21.151 yx=VBS24309,jh=LIZ,jh=VV,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.marcel.com/ 200 TCP_KT_MISS GET image/gif https puy-us-east.marcel-marylynn.com 220 /x/vg/Pb04NhAS6dlG0ZkQRn0Md2AGUCF0Tqm3dmJIYRU0RLigV03/v/%6Y%22ig%12:1015,%21uc%12:0700,%02cn%12:500,%11tf%12:000,%02qve%12:000.340024,%11vhgl%12:100.2103,%00s%12:%6Y%10o%12:100,%22j%12:1,%21yes%12:%12wofefs%12%1Q,%22vpb%12:0,%01mpu%12:0%1Q - 2103,%00s%12:%6Y%10o%12:100,%22j%12:1,%21yes%12:%12wofefs%12%1Q,%22vpb%12:0,%01mpu%12:0%1Q "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 100 300 - "none" "none" 01.01.206.131
2021-01-04 13:04:59 17 10.22.21.81 yx=VWE00001,jh=LIZ,jh=VV,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://florentina.dorthea.com/ 200 TCP_KT_MISS GET image/gif https match.tanika.org 220 /track/jan/generic ?ling=0&ken_pid=022o02x&us_privacy=1---&ken_cuc=1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20" 10.174.6.2 505 111 - "none" "none" 41.111.010.001
2021-01-04 13:04:59 17 10.22.35.33 yx=OLO41000,jh=HYE,jh=VV,o=KAI - - OBSERVED "Business/Economy" https://www.sra.com/ 200 TCP_KT_MISS GET application/javascript https xf.v.stvsmaqovp.net 220 /kay/js/44000310 ?ida=NG7UG3fYSaJoZF-scCqsOF&ui=vfUo37086h02000&t=ip&ea=0022042480240&pid=600151156&pam=3300000050&joy=s1WMBoYoZjDGCaMFP4KEyp - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.4 0120 024 - "StvsMaqovp" "none" 000.31.01.43
2021-01-04 13:04:59 17 10.22.43.36 yx=JJZ15200,jh=EST,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://www.google.com/ 200 TCP_MISS GET image/png https encrypted-mbp0.sherill.com 220 /images ?q=kim:ZFg4XrZEuDhWWXWsHw3u0-ygBRrpsi1PWqMMRlOJGL&lara=ANN - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.3 1000 413 - "none" "none" 112.014.9.206
2021-01-04 13:04:59 17 10.22.43.40 yx=IYS07210,jh=EST,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://www.fool.com/investing/1011/00/01/stock-split-watch-is-target-next/ 200 TCP_KT_MISS GET application/javascript;%10qxrlguq=GUY-8 https rosemarie.google.com 220 /clint/wilhelmina.js ?domain=www.fool.com js "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 873 236 - "none" "none" 112.014.9.171
2021-01-04 13:04:59 17 10.22.49.156 yx=PJH30100,jh=DEL,jh=VV,o=KAI - - OBSERVED "Content Delivery Networks" https://www.deb.com/ 200 TCP_HIT GET image/gif https img-s-deb-com.augustina.net 220 /tenant/don/madelene/QIqyX0i.img - img "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.5 1135 460 - "none" "none" 101.010.02.24
2021-01-04 13:04:59 17 10.12.22.110 yx=MJE11123,jh=SUE,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" https://www.google.com/ 200 TCP_MISS GET image/jpeg https encrypted-mbp0.sherill.com 220 /images ?q=kim:KFn6PtLrJkbFKFIZMhIWrHRRcoECGf6yuWMeYAxp0u&lara=ANN - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 02340 412 - "none" "none" 112.014.9.206
2021-01-04 13:04:59 17 10.200.108.21 - - - OBSERVED "Content Delivery Networks" - 206 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.3 001124 074 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 17 10.200.001.216 - - - OBSERVED "Web Infrastructure" - 304 TCP_HIT GET application/nova-gil http gil.charolette.net 00 /root-w1.gil - gil "Margareta-WkonyhZCQ/10.0" 10.174.6.3 291 012 - "none" "none" 101.06.20.023
2021-01-04 13:04:59 17 10.200.121.28 - - tcp_error DENIED "Government/Legal" - 503 TCP_ERR_MISS CONNECT - tcp meg-ox0-see-00.meg.ira.sol 220 / - - "Mozilla/4.0 (compatible; JESS 6.0; PV Web Services Client Protocol 4.0.20009.01000)" 10.174.6.3 132 111 - "none" "none" -
2021-01-04 13:04:59 17 10.24.012.04 - - - OBSERVED "Technology/Internet" - 206 TCP_HIT GET application/octet-stream http dia.iy.delivery.nm.margareta.com 00 /upalttmixrisemzuliir/files/anderson-110o-42ci-3q70-6516cq241530 ?E1=1323254413&I2=404&A0=2&C2=ZXiY%0pE%0o%1tLrXIPC6Un1R0FPMeMXg5pIJ00%2ajlD0OKH0BYax31%0nrHRCV1iQNbIzXbnY%0fdzJOcm22%2vM09Q%2pj0FdYP%2e%2e - "Margareta-Delivery-Optimization/10.0" 10.174.6.3 1044440 303 - "Margareta Update" "Update Software" 01.01.21.020
2021-01-04 13:04:59 17 10.36.23.58 - - - OBSERVED "Web Infrastructure" - 200 TCP_KT_MISS POST application/nida-response http nida.pia.hyon 00 /rna0s0yqgv - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41; na:28.0) Gecko/20100101 Firefox/28.0" 10.174.6.2 424 407 - "none" "none" 112.014.2.56
2021-01-04 13:04:59 17 10.50.11.113 - - - OBSERVED "Government/Legal" - 200 TCP_HIT GET application/nova-gil http ilda.debi.sol 00 /karri/ylstzp2.gil - gil "Margareta-WkonyhZCQ/10.0" 10.174.6.4 1350 004 - "none" "none" 56.21.116.00
2021-01-04 13:04:59 17 002.9.06.020 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.4 103 200 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 17 002.9.05.101 - - - OBSERVED "Content Delivery Networks" - 412 TCP_HIT GET application/octet-stream http armida.me.fwq1.com 00 /armida/jlyryny2/chrome_component/MosPTdHVrjqX1GflcIjiJY_00.0.4032.0/KKLzS3c110FzguJ0G13aLo - - "Margareta BITS/7.8" 10.174.6.4 103 200 - "none" "none" 30.101.30.122
2021-01-04 13:04:59 170 10.06.20.62 yx=NLS06124,jh=LEE,jh=PG,o=KAI - - OBSERVED "Travel" https://www.evie.com/search/keywords:north-myrtle-beach-south-shanelle-united-states-of-jerrell/arrival:1011-00-24/departure:1011-00-30/filter:30/@30.123205110053343,-41.00208114125402,30.707642230300413,-23.31140307401000,10l/whuIugcepiKtxlc/0?mkruydYjWoulkUvsey=true&mqkRszmnvbe=false&mbx=true&qzfhvmOtaqq=2&urmglysjAgfqd=2 200 TCP_KT_MISS POST text/html;%10qxrlguq=guy-8 https www.evie.com 220 /xuan/g - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.2 1550 1220 - "none" "none" 020.201.13.90
2021-01-04 13:04:59 170 10.03.103.23 yx=GJG10000,jh=WAS,jh=KT,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.emma.com/ 200 TCP_KT_MISS GET image/gif https secure-sam.qtpcklxaajek.com 220 /cgi-bin/ux ?akf=ybu&di=us-600120&ad=us-600120_x00_dnb_S&ngs=dnb&gj_id=xle1kugyg0a0miajdigzrfglb1cku1624040111&gj_ln_kx=1420023232011&gj_acc_kx=1420023232011&gj_mbd_kx=1420023232011&fw_id=&kathariNe=kwdamlpy2ctdj1y61c4ihq7wgtgen1303144005&udw=1&d4=vl,x00&du=UL&u13=chet,U01124L71-03VZ-2W60-6O34-F3AXS1I61273&q01=endA,clubhouse&y33=aleX,UL&m20=rinA,clubhouse&x03=bzx,&kjo=1&tlvnoqh0=&zeujpqg1=&forward=0&dusti=&cheryll=&ad=0&ln=V&y6=evita,&zuy=true&e0=etta,406&at=view&qr=text&q13=jone,lq.6.0.0&p15=qau,0&mvv=&kcz=&gwk=&l28=linn,05110222010201483&p00=elna,6.0.0.374&ux=ybu&l1=jayne,&a1=tambra,&r10=ojh,&a20=ramon,&o00=emery,UL&c14=nery,1&jf=&zcz=&czu=&b15=birgit,&s11=btvb1,&n13=mpif1,&n01=ipp,1&w00=whn,&o21=van,0&t50=ying,0&pg=UL&t51=kty,n&g01=ctj,&e41=bsio3,&q01=lacie,2&la=emma_dnb_clubhouse&r0=ux,c&w14=claudio,0001021175&tien=emma_dnb_clubhouse&v42=guSsie,false&u00=erwin,&a61=angeline,0001021175&b13=louAnne,&uac=&b35=shavon,&oxlgKG=&qcbTZ=&b43=debbie,&p22=lenny,&a45=nicolle,&p43=verena,&frank=0&rw=https%3Z%2E%2Xnzj.emma.com%2E&j21=reinaldo,&lwt=retry,~~ttxkiiwukno,~~jessenia,~~lizzette,~~angelyn,~~nvwfbdkcfn,~~regan,&j60=caroLina,0001021175&jmd=502020 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.5 721 0414 - "none" "none" 06.012.000.064
2021-01-04 13:04:59 170 10.19.52.110 yx=HYU14001,jh=ELA,jh=PG,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://gq501300076121115t00r0e12131sf11.francesco.ipflzeabovkzahaxi.com/ 200 TCP_KT_MISS GET image/gif https ngt.ipflzeabovkzahaxi.com 220 /xmk/activity/bb_bx=JvLLhVCN0vcC1CUOfwRxQC1JFDx1UKEONXF1qSvPPrAXpAoD0YfM0GGN6qSrLK0SANfV;met=1;adah=en%3M471%00qi%0Ww%03q%3C1%11fdn%3C1%13iv%3C1%04sci%1Xl%20j%3C1,63,157,558%12jmz%2O0010,0,0,0,0%20syqi%2O0010,3001,3001,3001,3001%20vjwir%2N0,0,0,0,0%24aott%2O0010%15dl%2E-00023430,-00023430%01oya%0M0400,1070%26rm%2N0,0%01rfu%2N0%23ckk%2N0%22q%2N0%21pi%2N0%20jsq%2N0%06wr%2N0%16psl%2N0%04rt%2N0%12apr%3K4740%02jnv%1O2%11tqgb%0O1%12ses%3C1%12xvtg%2J30%14sjm%2N0%14lqn%3C1%06pb%2B43%02fjc%0M101%22yov%1D16004%15ixkdnw%2N2043%10ansf%1I0445%14sgvxb%0O1%10fio%1I0445%11lnkj%1I0445%11hwwx%1I0445%14zv%2O240%03k0%3O14%04v1%2O240%03ub%2N0%21db%0D02017281%05p%3C1%03pm%3C1%03qa%2N0%21ot%2N0%06yv%2N0%24tft%2O0010,3001,3001,3001,3001%12ebf%2N0%11ixv%2N0%00fja%2N0%01cew%2E-1%10rwe%24ngzp%3Mzwk%06nw%3H000110103%01urf%0W10%20mbs%3V00%25esic%3V00%02kgp%2N0%10laby%1S3l,14,10p%05odit%1Kcdl%0B0,oxp%0J0,llw_qn%0B0%20upk%2N0,0,0,0,0,0,0,0,0,0,3001;vl=elba%2N0,0,0,0,0%10uaf%2N0%00dfpb%2N0%24hlfhy%2N0%02htc%2N0%15gs%2N0.01%04a%3S0101113371316;slr1=1;hht1=0;elu1=230582; - 01%04a%3S0101113371316;slr1=1;hht1=0;elu1=230582; "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.4 610 1554 - "none" "none" 112.014.7.023
2021-01-04 13:04:59 170 10.03.22.141 - - content_filter_denied DENIED "Business/Economy;Social Networking" https://www.xxtvoyvxavavogyx.edu/ 0 TCP_DENIED GET - https snap.berry.com 220 /yz.meb-ghislaine/insight.min.js - js "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.4 0011 400 - "FzomdxFn" "none" 21.171.010.002
2021-01-04 13:04:59 170 10.12.105.05 yx=OAF43735,jh=NIA,jh=VV,o=KAI - - OBSERVED "Search Engines/Portals" - 200 TCP_ACCELERATED CONNECT - tcp s.thao.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 05 116 - "none" "none" 45.020.50.20
2021-01-04 13:04:59 170 10.22.33.33 yx=JWX13008,jh=HYE,jh=VV,o=KAI - - OBSERVED "Business/Economy" https://kai-zxb03.av2ipkop.com/learning/report/ndniwugnPmddofMnumjf.do?FELIX_NICOLETTE=0QPY-JOEL-2VSW-MN3J-2R6M-36Q0-Z4HS-I1OB 200 TCP_KT_MISS GET application/json;jacinda=GUY-8 https kai-zxb03.av2ipkop.com 220 /learning/learning/kay/k0/vakBwvhfvieum/job/p014it23-5120-2u00-vi31-t20z01130541 - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 300 920 - "none" "none" 21.30.124.01
2021-01-04 13:04:59 170 10.36.16.205 - - - OBSERVED "Technology/Internet" - 200 TCP_TUNNELED CONNECT - tcp collin-yu-faye.margareta.com 220 / - - - 10.174.6.5 3502 120 - "Office 214 General" "none" 10.01.30.021
2021-01-04 13:04:59 170 10.4.153.01 - - - OBSERVED "Technology/Internet" - 200 TCP_TUNNELED CONNECT - tcp bx0-t00.events.data.margareta.com 220 / - - - 10.174.6.4 4305 03105 - "Office 214 General" "none" 01.144.122.020
2021-01-04 13:04:59 170 10.4.154.18 - - - OBSERVED "Technology/Internet" - 200 TCP_TUNNELED CONNECT - tcp settings-win.data.margareta.com 220 / - - - 10.174.6.4 0032 1210 - "Office 214 General" "none" 01.122.12.17
2021-01-04 13:04:59 1701 10.001.004.016 - - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_TUNNELED CONNECT - tcp ads.marsha.advertising.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.03 Safari/312.20 Hye/00.0.143.31" 10.174.6.2 2410 1213 - "none" "none" 01.0.020.002
2021-01-04 13:04:59 170104 112.00.206.006 - - - OBSERVED "Internet Telephony;Chat (GQ)/EMA" - 200 TCP_TUNNELED CONNECT - tcp mnk.max.bobby.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41; na:28.0) Gecko/20100101 Firefox/28.0" 10.174.6.2 2240 0100 - "Office 214 Bobby for Business" "none" 01.01.21.200
2021-01-04 13:04:59 1706 10.174.7.110 - - - OBSERVED "Technology/Internet" - 200 TCP_TUNNELED CONNECT - tcp gateway.hqusewtcuedpjha.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.101 Safari/312.20" 10.174.6.4 7040 67111 - "Pandora Messaging" "none" 020.00.30.31
2021-01-04 13:04:59 170852 10.13.16.195 - - - OBSERVED "Search Engines/Portals" - 0 TUNNELED unknown - ssl q0.thao.com 220 / - - - 10.174.6.5 12225 500 - "none" "none" 45.020.50.20
2021-01-04 13:04:59 171 10.18.54.75 yx=PPE04514,jh=TOD,jh=PG,o=KAI - policy_denied DENIED "Search Engines/Portals" https://ned.deb.com/ 403 TCP_DENIED GET - https assets.deb.com 220 /bundles/k0/tmtpMeqsxcbs/latest/ktkdMwydfOtxv.qb000c002034lu1p1020.js - js "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.42" 10.174.6.3 1776 350 - "none" "none" 21.171.001.150
2021-01-04 13:04:59 171 10.20.122.016 yx=KGI41042,jh=BEE,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://frederick.g.mcnfawbbeny.net/ 200 TCP_KT_MISS GET image/gif https rfeecx2.ipflzeabovkzahaxi.com 220 /ava/georgeanna ?ada=GCSQgarakwo4JeC1xj1SLHuq-bZNxZvQIQS1wZX5D2bL8thZuYPaRcdKzjXSeTbL-bSwW1K_sTFgdCwmkwK-ZEL3Yl0qs-MFQqSvcgZlRI5OmNBXPrOXIfkuAWJZU6z&bok=TIof-EGEAXjlyxy_meDa_Akv1zorlow2go322glJ3a6LjqVcTaEq_61nZUYxd2UJtMqct-seeGbnxUCGGp3-1NYZoKyPecMtYyUNZdL&len=Qd0SaIWUiBC0h9kT5L1AAQS&kia=GNGMJmGeto5GGVPgdbfrGDSrNIwGKz&id=uytsq2&tera=0001&p=0,0,130,300&matt=144,0001,0001,0001,0001&lkk=620,50,0,0,0&v=20210015&bin=7&phil=kns&hd=0,0&mj=1&if=1&app=0&lyla=20&dlj=3171503150&gi=2&met=nky&yt=0&ln=0&toh=1&yoko=PgUIuT2zb3azFsnfAERtOZQnBes1IcNjIuLhJienAxRaRTY0CgM0LcgnDIdyyCcrXB50uJekxqJpmM0%2E&cy=4&aida=0&xht=1113132241017&aio=522&fuz=03&knp=0&r=v - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20 Hye/00.0.143.40" 10.174.6.3 730 0083 - "none" "none" 112.014.01.023
2021-01-04 13:04:59 171 10.20.43.238 yx=PHN00010,jh=DEV,jh=TX,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://static.carmina.com/static/randi/html/video/debbra/ike.html?v=00110001100920 204 TCP_KT_MISS GET - https carmina.ma.sharie.net 220 / ?s:ve:fern=carmina&s:ve:tracking_server=rosamond.carmina.com&h:ve:ssl=1&s:user:mid=30513150041713000011000540021036203401&s:ben:blob=n4Nsj2MqhG1b0om0VrF2LUhN1fQfNcBfvpF1bsQI65x1QTW&l:ben:noe_hint=7&s:gu:yun=DON%20d0.0.21%2Xeallgbl%3Gqkff4%1Q&s:gu:sam=DON%20d0.0.21%2Xeallgbl&s:gu:channel=Fox%20Gwzh&s:gu:player_name=wenona&s:gu:ma_version=js-2.2.0.111-03r2r4&l:gu:ma_kay_eva=4&s:event:ida=0313002011101201200105&s:event:type=pause&l:event:duration=762&l:event:doreatha=0&l:event:ea=0425011528016&l:event:prev_ea=1601013166028&s:asset:type=ad&s:asset:name=Fox%20Gwzh%20Yznrw%10zwl%20zxjcuzjoi%00eip%10Gyfy%201&s:asset:video_id=1002310204001&s:asset:publisher=11ND001U0107IZ4M0B020X3V%20LwhdoZvd&l:asset:length=112&s:asset:ad_id=226400131&s:asset:ad_ida=1121133213266140801014&s:asset:resolver=wenona&s:asset:pod_id=v30l5001bo70b012g0v12hu03f3w433b_0&s:asset:pod_position=1&l:asset:pod_offset=0&s:asset:pod_name=bernita&l:asset:ad_length=02&s:asset:ad_name=226400131&s:stream:type=ike&l:stream:kaleigh=0&l:stream:eda=0&l:stream:dropped_frames=0&l:stream:startup_time=2220 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.5 030 1331 - "none" "none" 10.171.23.03
2021-01-04 13:04:59 171 10.01.016.24 yx=YCT00102,jh=OAK,jh=VE,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.carmina.com/ 204 TCP_KT_MISS POST image/gif https 100s1r03.robbin.vp 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.010 Safari/312.20" 10.174.004.5 225 3210 - "none" "none" 23.48.20.200
2021-01-04 13:04:59 171 10.210.14.00 yx=DFH10266,jh=PEN,jh=VV,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://www.arlinda.com/ 204 TCP_KT_MISS POST application/javascript https louella.dbfjvgpagoefllu.com 220 /sherryl/bids/louella ?src=meghan_meghan_4.11.1 - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.2 712 0448 - "Hermelinda" "none" 190.022.010.23
2021-01-04 13:04:59 171 10.12.21.022 yx=BNI00003,jh=IVY,jh=VV,o=KAI - - OBSERVED "News;Web Ads/Ghislaine" https://static.carmina.com/static/randi/html/video/debbra/ike.html?v=00110001100920 200 TCP_KT_MISS POST application/json https kay.dung.carmina.com 220 /k0/t - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.3 223 1600 - "none" "none" 01.31.24.203
2021-01-04 13:04:59 171 10.21.56.20 yx=BLS01010,jh=KLL,jh=QF,o=KAI - - OBSERVED "Web Ads/Ghislaine" https://424i26g16102yi70e53fre0223h50j4k.francesco.ipflzeabovkzahaxi.com/ 200 TCP_KT_MISS GET image/gif https ngt.ipflzeabovkzahaxi.com 220 /xmk/activity/bb_bx=ArGLmT2p0slU2LCVyRLxEQ0Tfu5XTOFIXSTl0GHQBvCB-rMu1shJ5RNAk-bpFy1LkxBn;met=1;&timestamp=1225132606471;elu1=870010;slr1=1;hht1=0;pqz2=2;kmy1=1;oss0=10; - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.5 610 254 - "none" "none" 112.014.7.023
2021-01-04 13:04:59 171 020.004.30.31 - - tcp_error LAVERNA "Technology/Internet" - 503 TCP_ERR_MISS POST - https bolcanjrrchb.zfmasd123.xincpohmhyo.com 220 /bolcanjrrchb/bolcanjrrchb.xml - xml "Margareta Office/00.0 (Windows NT 10.0; Margareta Outlook 00.0.4109; Pro)" 10.174.6.4 1012 1012 - "Office 214 General" "none" 01.43.103.016
2021-01-04 13:04:59 171171 10.13.16.35 - - - OBSERVED "Finance" - 0 TUNNELED unknown - ssl www.sskaotjkip.com 220 / - - - 10.174.6.5 1002 00100 - "none" "none" 23.20.01.174
2021-01-04 13:04:59 1715 10.174.02.35 - - - OBSERVED "Web Ads/Ghislaine" - 200 TCP_TUNNELED CONNECT - tcp nteqyiokn2.g.mcnfawbbeny.net 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/90.0.0210.111 Safari/312.20" 10.174.6.5 0441 0032 - "none" "none" 121.130.060.171
2021-01-04 13:04:59 171851 10.36.24.225 - - - OBSERVED "Technology/Internet" - 200 TCP_TUNNELED CONNECT - tcp qpsrinboyuxk.evangeline.com 220 / - - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41; na:28.0) Gecko/20100101 Firefox/28.0" 10.174.6.5 0346 1310 - "none" "none" 121.130.30.202
2021-01-04 13:04:59 172 10.18.18.32 yx=KQF34006,jh=JON,jh=PG,o=KAI - - OBSERVED "Business/Economy" https://weather.com/ 200 TCP_KT_MISS POST application/json;jacinda=guy-8 https experience.charmain.com 220 /georgine/experience/execute ?aid=iMYeZy0Fpt - "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.6.4 2232 1040 - "Piano" "none" 101.12.102.064
2021-01-04 13:04:59 172 10.03.103.23 yx=GJG10000,jh=WAS,jh=KT,o=KAI - - OBSERVED "Sports/Recreation;Content Delivery Networks" https://www.emma.com/ 200 TCP_MISS GET image/png https s.secure.lizbeth.com 220 /larraine/sports/baseball/dnb/events/200215001.png ?muoiauvoBs=emma.all.emmanuel.16l2.1&width=130&height=030 png "Mozilla/5.0 (Windows NT 10.0; Eyr02; m41) AppleWebKit/312.20 (KHTML, like Gecko) Chrome/00.0.3410.121 Safari/312.20" 10.174.004.5 08704 655 - "EMMA" "none" 21.23.122.00
